ONS_CODE,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024
E14000765,67.4,64.7,63.6,52.9,47.6,50.6,59.2,83.4,81.5,84.7,79.1,73.9,71.5
E14000766,100.0,,,,,,,,57.2,65.3,73.1,75.8,83.9
E14000767,60.4,48.4,73.8,49.9,60.8,54.7,62.4,84.0,89.0,84.2,85.1,100.0,100.0
E14000768,35.5,,,,71.7,61.3,57.6,60.0,48.4,50.4,60.5,47.5,43.4
E14000769,80.5,100.0,94.3,86.0,83.7,87.0,76.0,81.6,64.3,48.6,74.0,63.9,70.8
E14000770,55.6,69.2,76.4,53.1,61.4,58.0,45.8,,,,,80.6,86.5
E14000771,69.3,79.1,68.4,74.3,85.2,82.8,84.6,84.6,100.0,,,100.0,87.9
E14000772,67.9,76.2,74.0,,84.3,87.9,90.7,74.6,68.5,62.5,42.0,56.3,55.8
E14000773,65.0,66.9,63.5,52.7,55.8,53.3,66.8,100.0,,79.7,81.6,81.8,93.9
E14000774,72.2,89.9,90.4,89.6,85.9,86.4,86.5,,71.2,82.9,77.1,82.8,88.7
E14000775,88.4,100.0,100.0,95.5,79.1,74.6,81.9,78.6,91.9,92.2,82.2,76.5,84.1
E14000776,54.8,40.1,50.5,51.5,52.3,76.8,80.6,88.0,84.3,74.0,,,
E14000777,58.0,56.5,39.7,,,,57.6,79.1,75.7,54.1,45.6,45.3,42.3
E14000778,100.0,84.2,81.4,80.5,79.4,53.1,47.3,40.8,,,,,
E14000779,66.0,83.4,69.0,74.6,66.7,62.9,58.2,48.6,69.8,69.8,74.9,74.7,66.8
E14000780,45.0,46.9,76.4,75.4,68.8,70.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
E14000781,,,,56.7,55.9,75.6,84.5,100.0,100.0,100.0,100.0,,
